Rank,Company,EmployeeCount,Revenue,Profits,Assets,MarketValue,Sector,Industry,Hqcity,Hqstate
92,General Dynamics,105600,36193,3345,45408,48883,Aerospace & Defense,Aerospace and Defense,Falls Church,VA
93,Exelon,33383,35985,2010,119666,48623.7,Energy,Utilities: Gas and Electric,Chicago,IL
94,Plains GP Holdings,4900,34055,334,26830,3974.4,Energy,Pipelines,Houston,TX
95,3M,93516,32765,5349,36500,119659.8,Industrials,Miscellaneous,St. Paul,MN
96,AbbVie,30000,32753,5687,59352,119125.3,Health Care,Pharmaceuticals,North Chicago,IL
97,CHS,10495,32683.3,775.9,16381.2,,"Food, Beverages & Tobacco",Food Production,Inver Grove Heights,MN
98,Capital One Financial,47600,32377,6015,372538,38340.7,Financials,Commercial Banks,McLean,VA
99,Progressive,37346,31979,2615.3,46575,42099.5,Financials,Insurance: Property and Casualty (Stock),Mayfield Village,OH
100,Coca-Cola,62600,31856,6434,83216,200334.1,"Food, Beverages & Tobacco",Beverages,Atlanta,GA
101,USAA,33689,31367.8,2291.9,158506.8,,Financials,Insurance: Property and Casualty (Stock),San Antonio,TX
102,Hewlett Packard Enterprise,60000,30852,1908,55493,21144.9,Technology,Information Technology Services,Palo Alto,CA
103,Abbott Laboratories,103000,30578,2368,67173,140412.2,Health Care,Medical Products and Equipment,Abbott Park,IL
104,Twenty-First Century Fox,22400,30400,4464,53831,,Media,Entertainment,New York,NY
105,Micron Technology,36000,30391,14135,43376,45739.4,Technology,Semiconductors and Other Electronic Components,Boise,ID
106,Travelers Cos.,30400,30282,2523,104233,36126.7,Financials,Insurance: Property and Casualty (Stock),New York,NY
107,Rite Aid,48410,30215.4,943.5,8989.3,685.7,Food & Drug Stores,Food and Drug Stores,Camp Hill,PA
108,Northrop Grumman,85000,30095,3229,37653,45821,Aerospace & Defense,Aerospace and Defense,Falls Church,VA
109,Arrow Electronics,20100,29676.8,716.2,17784.4,6564.4,Wholesalers,Wholesalers: Electronics and Office Equipment,Centennial,CO
110,Philip Morris International,77400,29625,7911,39801,137516.7,"Food, Beverages & Tobacco",Tobacco,New York,NY
111,Northwestern Mutual,5870,29124,783,272167,,Financials,"Insurance: Life, Health (Mutual)",Milwaukee,WI
112,INTL FCStone,1701,27622.7,55.5,7824.7,739.5,Financials,Diversified Financials,New York,NY
113,PBF Energy,3266,27186.1,128.3,8005.4,3732,Energy,Petroleum Refining,Parsippany,NJ
114,Raytheon,67000,27058,2909,31864,51390.1,Aerospace & Defense,Aerospace and Defense,Waltham,MA
115,Kraft Heinz,39000,26259,-10229,103627,39814.6,"Food, Beverages & Tobacco",Food Consumer Products,Pittsburgh,PA
116,Mondelez International,80000,25938,3381,62729,72171.7,"Food, Beverages & Tobacco",Food Consumer Products,Deerfield,IL
117,U.S. Bancorp,75772,25775,7096,467374,77116.5,Financials,Commercial Banks,Minneapolis,MN
118,Macy's,130000,25739,1108,19194,7388.4,Retailing,General Merchandisers,Cincinnati,OH
119,Dollar General,135000,25625,1589.5,13204,30960.6,Retailing,Specialty Retailers: Other,Goodlettsville,TN
120,Nucor,26300,25067.3,2360.8,17920.6,17784,Materials,Metals,Charlotte,NC
121,Starbucks,291000,24719.5,4518.3,24156.4,92449.2,"Hotels, Restaurants & Leisure",Food Services,Seattle,WA
122,DXC Technology,150000,24556,1751,33921,17252.5,Technology,Information Technology Services,Tysons,VA
123,Eli Lilly,38680,24555.7,3232,43908.4,134355.9,Health Care,Pharmaceuticals,Indianapolis,IN
124,Thermo Fisher Scientific,69200,24358,2938,56232,109215.3,Technology,"Scientific, Photographic and Control Equipment",Waltham,MA
125,US Foods Holding,24900,24175,407,9186,7597.8,Wholesalers,Wholesalers: Food and Grocery,Rosemont,IL
126,Duke Energy,30083,24116,2666,145392,65488.1,Energy,Utilities: Gas and Electric,Charlotte,NC
127,Halliburton,60000,23995,1656,25982,25565.5,Energy,"Oil and Gas Equipment, Services",Houston,TX
128,Cummins,62610,23771,2141,19062,24839.1,Industrials,Industrial Machinery,Columbus,IN
129,Amgen,21500,23747,8394,66416,118220.4,Health Care,Pharmaceuticals,Thousand Oaks,CA
130,Paccar,28000,23495.7,2195.1,25482.4,23630.4,Industrials,Construction and Farm Machinery,Bellevue,WA
131,Southern,30286,23495,2226,116914,53466.3,Energy,Utilities: Gas and Electric,Atlanta,GA
132,CenturyLink,45000,23443,-1733,70256,12946.6,Telecommunications,Telecommunications,Monroe,LA
133,International Paper,53000,23306,2012,33576,18518.9,Materials,"Packaging, Containers",Memphis,TN
134,Union Pacific,41967,22832,5966,59147,120865.2,Transportation,Railroads,Omaha,NE
135,Dollar Tree,119650,22823.3,-1590.8,13501.2,25021,Retailing,Specialty Retailers: Other,Chesapeake,VA
136,Penske Automotive Group,27000,22785.1,471,10904.5,3756.8,Retailing,"Automotive Retailing, Services",Bloomfield Hills,MI
137,Qualcomm,35400,22732,-4864,32686,69023.7,Technology,Semiconductors and Other Electronic Components,San Diego,CA
138,Bristol-Myers Squibb,23300,22561,4920,34986,77895,Health Care,Pharmaceuticals,New York,NY
139,Gilead Sciences,11000,22127,5455,63675,82881,Health Care,Pharmaceuticals,Foster City,CA
140,Jabil Circuit,199000,22095.4,86.3,12045.6,4113.9,Technology,Semiconductors and Other Electronic Components,St. Petersburg,FL
141,ManpowerGroup,30000,21991.2,556.7,8519.8,4964.7,Business Services,Temporary Help,Milwaukee,WI
142,Southwest Airlines,58803,21965,2465,26243,28690.1,Transportation,Airlines,Dallas,TX
143,Aflac,11390,21758,2920,140406,37442.5,Financials,"Insurance: Life, Health (Stock)",Columbus,GA
144,Tesla,48817,21461.3,-976.1,29739.6,48337.8,Motor Vehicles & Parts,Motor Vehicles and Parts,Palo Alto,CA
145,AutoNation,26000,21412.8,396,10665.1,3216.9,Retailing,"Automotive Retailing, Services",Fort Lauderdale,FL
146,CBRE Group,90000,21340.1,1063.2,13456.8,16607,Financials,Real Estate,Los Angeles,CA
147,Lear,169000,21148.5,1149.8,11600.7,8470.4,Motor Vehicles & Parts,Motor Vehicles and Parts,Southfield,MI
148,Whirlpool,92000,21037,-183,18347,8454.6,Industrials,"Electronics, Electrical Equipment",Benton Harbor,MI
149,McDonald's,210000,21025.2,5924.3,32811.2,145333.8,"Hotels, Restaurants & Leisure",Food Services,Oak Brook,IL
150,Broadcom,15000,20848,12259,50124,119034.7,Technology,Semiconductors and Other Electronic Components,San Jose,CA
151,Marriott International,176000,20758,1907,23696,42117.1,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Bethesda,MD
152,Western Digital,71600,20647,675,29235,13978.3,Technology,Computer Peripherals,Irvine,CA
153,Visa,17000,20609,10301,69225,343774.2,Business Services,Financial Data Services,Foster City,CA
154,Lennar,11626,20571.6,1695.8,28566.2,15513.8,Engineering & Construction,Homebuilders,Miami,FL
155,WellCare Health Plans,12000,20414.1,439.8,11764.7,13569,Health Care,Health Care: Insurance and Managed Care,Tampa,FL
156,Kohl's,81500,20229,801,12469,11220.9,Retailing,General Merchandisers,Menomonee Falls,WI
157,AECOM,87000,20155.5,136.5,14681.1,4631.3,Engineering & Construction,"Engineering, Construction",Los Angeles,CA
